operating_system_id;operating_system_desc
1;Windows 7 Pro 64 Bit OEM License
2;ANDROID 5.1
3;Windows 10 Pro Volume License
4;Windows 10 Pro OEM License
5;Windows 7 Pro 32 Bit OEM License
6;Windows Server 2008 R2 Standard 64-bit
7;Windows VISTA
8;Windows XP
